,Old_WScore,Position_Weight,SCScore,Words
240,46349.975708502025,0.006019528691484607,279.0050086269425,list
521,35744.09914529914,0.007751937984496124,277.0860398860398,break
83,60547.428490028484,0.004529332540720081,274.2394381168081,input
66,64427.86666666668,0.004220699942140381,271.93069311222825,instruct-redirect-instruct
65,64437.26217948718,0.004213940000080685,271.5347565938273,decod
486,37910.48888888888,0.007059809696457035,267.6408370552044,iter
220,47204.00623274161,0.005530363875215832,261.0553308350172,approach
439,41468.42140468227,0.006274812345468286,260.2065625771816,translat
510,36639.899487179486,0.006960415361814005,255.0289192458852,element
69,63469.04453441296,0.004009064867022202,254.45151658638252,assum
579,32600.93665158371,0.0078030493294749485,254.38671687939555,clock-frequenc
445,40751.72991452991,0.00621397100926819,253.2300682664161,exist
428,42131.14509803922,0.005946435334768363,250.5301299052333,fetch-address
260,45680.17749287748,0.005477080581734608,250.19401311642955,execut-profil
161,50357.230199430196,0.004954900283235,249.51505417808676,cost
416,43234.170512820514,0.005686591314979381,245.85505854854276,percentag
459,39769.649170437406,0.006170514592951269,245.39920056273635,ratio
451,40306.04923076923,0.006039216323347846,243.41695044412344,advantag
165,50166.46153846153,0.004840510366826156,242.8312771439087,approxim
210,47743.459697567385,0.005059528307695871,241.55938584717913,unit
115,54918.40361990951,0.00432746172095053,237.65728944086942,accuraci
112,55659.06304675716,0.00425958791033735,237.08467205467116,target-address
488,37729.46666666667,0.006264319858146677,236.3494472772831,binari
137,52004.29102564103,0.004539863535193787,236.09238450091323,empir
48,69355.76121794872,0.003396350649164279,235.55648463586286,threshold
730,24033.79264214047,0.00974025974025974,234.0953828779916,nullifi
102,56603.65680473372,0.004122176697734208,233.3302750870177,andor-execut
103,56185.53355629878,0.004138905851297745,232.54663359445084,save
419,42993.558461538465,0.0053711101802704315,230.9231395388212,clean
140,51876.10848126234,0.004414965367569469,229.03122234905,correct-execut
129,52728.8393162393,0.004340299984774447,228.85898048144767,probabl-branch
241,46321.6717948718,0.0049275454403333125,228.25214264143673,incorrectli-predict-branch
197,48163.8274509804,0.0047131716082869455,227.00438408839224,behavior
203,47961.88978303747,0.004679698950540214,224.44720528360585,compar
57,67119.08093645485,0.0033418013326068988,224.2986341167951,origin
191,48297.53,0.004630390619202413,223.63642984264712,target
59,66741.28376068376,0.003340584810531867,222.95491876633733,appli
21,75205.56666666668,0.0029376776687836574,220.9297137648873,uncondit-branch
53,68250.02179487179,0.003227424856418386,220.2718167918658,duplic
650,28857.45373467112,0.007612426257293921,219.67523852845494,incorrect-predict
276,45307.947850098615,0.004767964340918078,216.02667970944609,sparc
187,48336.04071005918,0.004453589522714543,215.26888447582314,multipl
68,63863.843137254895,0.0033565819518733006,214.36422325177733,idea
280,45283.746853146855,0.0046429272600995945,210.24914270392475,step
683,26949.02564102564,0.007783101155774733,209.7469926136696,extra
131,52651.07915273133,0.003951460968775401,208.04868423592202,cycl-instruct
186,48421.661538461536,0.004250540876708506,205.81825168737484,lemma
200,47973.835424063116,0.004279749991296947,205.31602173861526,applic
487,37840.717948717946,0.005406389680822388,204.58166703285923,loop
788,21474.66830769231,0.009461052791723717,203.17297054383317,maintain
551,33874.648547008546,0.005925492905351545,200.72398963657616,disadvantag
114,55509.8875739645,0.003615188718129071,200.67871930200957,increas-number-instruct
261,45674.280044593084,0.004325256451356609,197.55297442394465,requir-branch
246,46217.27560815254,0.004251495125710738,196.49252197169028,design
452,40231.7721997301,0.004871901831960232,196.0052446828718,spectrum
607,31182.406334841628,0.006134969325153374,191.30310634872166,abil
135,52201.80576923076,0.0036422913778562005,190.13418706179328,run-time
829,19252.352000000006,0.009784202807458621,188.36891648858168,easi
608,31182.406334841628,0.005952380952380952,185.60956151691443,accu
209,47782.989441930615,0.0038790486658119502,185.35254144322747,compar-branch
174,49355.089838556494,0.003706395306634382,182.92947333614407,lower
242,46284.660092044716,0.003951469684307405,182.89243120218748,formal
104,56051.868131868134,0.003259355114354087,182.69294306470528,branch-redirect-instruct
308,44364.623931623915,0.004100978216729113,181.93835633696878,insert-branch
206,47876.2347985348,0.003781756975184312,181.05628489492088,larger
202,47962.43397764628,0.003747971938064553,179.7618566294921,optim
575,32873.43304843305,0.005437352245862884,178.74443501512062,opcod
122,53771.071794871794,0.00331224888091436,178.1031723781298,correct-proof
46,70000.23751686909,0.0025295898859932424,177.0718928397968,experi
306,44574.504124860636,0.0038848954037063415,173.16728619716045,complet
549,33908.789423076916,0.00504397875036675,171.03521330066076,profil-inform-compil
550,33908.789423076916,0.005031055900621118,170.59701510989007,time-code-restructur
270,45493.15961538462,0.0037372024370328494,170.0171469829398,background
271,45493.15961538462,0.0037302277072831565,169.69984448916284,motiv
566,33337.150961538464,0.005066314827271002,168.89650221541407,depend
226,46821.90840236686,0.003600834166677132,168.5979275242697,limit
158,50579.42905982906,0.0033054275321618217,167.1866373753847,discuss
686,26797.12730015083,0.006216123932810213,166.5742643410295,branch-slot
591,32203.679120879122,0.0051662961897005364,166.37374473653654,visit
480,38344.72496626181,0.004310344827586207,165.2789869235423,immedi
481,38344.72496626181,0.004273504273504274,163.86634600966588,reserv
43,70758.32508361204,0.0023047118373271643,163.0775494096443,impact-compil
533,35123.515789473684,0.004524886877828055,158.92993569897595,berkeley
249,46127.348148148136,0.0034451825202844433,158.91713354707494,problem-instruct-sequenc
576,32759.573426573428,0.004829289144431271,158.2054523251502,correspond-branch
144,51818.468864468865,0.0030473942855337964,157.91130590269336,successor
673,27930.3375,0.005643117967061629,157.61418937234518,fast
427,42212.871794871804,0.003728830696015777,157.4046521156966,true
507,36880.450142450136,0.004266215836930777,157.33996047085668,involv
513,36260.485714285714,0.004249079036822716,154.073669713581,direct-branch
496,37267.41133603239,0.004102340809258594,152.883622379232,equal
519,35785.556089743586,0.00423926287494535,151.70437939052448,array
732,23994.336677814936,0.006289308176100629,150.90777784789267,commerci
968,13871.143999999998,0.010869565217391304,150.77330434782607,elam
477,38650.72060778727,0.0038942825194969617,150.51682562886694,employ
967,13871.143999999998,0.010752688172043012,149.15208602150537,young
305,44677.503962703966,0.0033348659493626274,148.9934866677353,guarante
512,36377.690028490026,0.004069916820280276,148.05417252989363,enter
969,13871.143999999998,0.010638297872340425,147.56536170212763,parkway
253,45768.82948717949,0.0032098489079345582,146.9110273468661,occur
970,13871.143999999998,0.010526315789473684,146.01204210526313,hillsboro
422,42673.133603238864,0.0034150564979600045,145.7311622000563,term
101,56846.21367521367,0.0025634870007061584,145.7245297957749,cost-effect
60,66608.29358974357,0.0021668344537555764,144.32914545612306,compil-time-branch
812,20060.37993311037,0.007194244604316547,144.3192800943192,class
426,42387.67218934912,0.0033917863404820886,143.76992753666684,program-execut
965,14184.704,0.010101010101010102,143.27983838383838,conduct
423,42631.56923076923,0.0033321197532801506,142.05349394717643,pipelin-larg
816,20006.62805429864,0.007083031450781786,141.70757573269046,predict-instruct
815,20060.37993311037,0.006993006993006993,140.28237715461796,branch-target-cach
201,47965.81291255752,0.0028972372847972452,138.9683415658708,effici
247,46162.123734385284,0.002946033692127074,135.9951718216379,analysi
307,44451.939423076925,0.00305517519678653,135.80846277444195,code-expans-control
587,32246.645512820516,0.004098360655737705,132.1583832492644,compil-time-delay
302,44875.854945054954,0.0029411764705882353,131.98780866192632,scheme
586,32246.645512820516,0.004081632653061225,131.61896127681845,slot-branch-fill
539,34595.79259259259,0.00380126196863278,131.50767065692986,pipelin-branch
814,20060.37993311037,0.006535947712418301,131.1135943340547,fetch-instruct-predict
813,20060.37993311037,0.0064516129032258064,129.4218060200669,instruct-fetch-due
718,24697.85098039216,0.005233004363710932,129.2439619546745,successor-branch
312,44138.03750000001,0.002919930249300787,128.8799908410225,defin-dynam-instruct
113,55650.062222222215,0.0022914529631713047,127.51949997977857,major
588,32246.645512820516,0.003952569169960474,127.45709688861864,movement
265,45571.168126232755,0.0027691607954018725,126.19389217583115,precis-interrupt
301,45035.05588428665,0.0027684045084459237,124.6752517481733,parallel
119,53847.343589743585,0.002313049245564583,124.55155746591329,made
474,39126.507692307685,0.0031568002696835485,123.51457003485233,predict-direct
92,58356.27863247862,0.002111374766496693,123.21197417126551,figur-instruct
729,24096.11428571428,0.005100756375665436,122.90840857162011,machin-languag-program
658,28506.71734539969,0.004308838174547517,122.83083192889404,clear
91,58392.91468531469,0.0020966857599599956,122.43159270325822,fetch-instruct-sequenti
196,48165.0108086785,0.0025244492828854852,121.59012699614007,proceed
169,49805.547511312216,0.0024121461244311694,120.13825840458423,make
453,40183.41025641025,0.002981933737667524,119.82426673812493,branch-origin
142,51875.326495726506,0.0022922824302134648,118.91289948774089,compil-time-code
84,60535.04,0.0019635089741340548,118.86109428956397,branch-condit
141,51875.326495726506,0.0022896581371330913,118.77676342737604,restructur-algorithm
622,30457.603418803417,0.0038873203430165454,118.3984613694448,reflect
583,32454.54415954416,0.0036421263982158343,118.2035520255373,question
616,30577.28351648352,0.0038314176245210726,117.15434297503263,success
569,33164.53333333333,0.0035325038667534496,117.15384223907367,instruct-fetch-pipelin
277,45305.754161735706,0.00258417042410335,117.07778994645467,hardwar-scheme
126,53152.91760683762,0.00219209131225942,116.5160489071895,reach-end-sequenc
413,43492.0858974359,0.002634237945662159,114.56850300702371,incorrectli
508,36754.156125356116,0.0031099397902587715,114.30321259162814,control-transfer
28,74224.58153846153,0.0015137759122710796,112.35938363132374,similar
127,53100.51698717949,0.0020938574735151058,111.18491434112161,column
239,46351.17659434582,0.0023927243340931986,110.90558815114237,potenti
515,36190.616923076916,0.0030581039755351682,110.67466948953185,predict-branch-requir
537,34661.688888888886,0.0031929676008098443,110.67364961157278,avoid
590,32203.679120879122,0.003429165834107124,110.43175617386763,current
282,45201.980952380945,0.0024073711487615267,108.81794481162997,compil-implement
652,28721.98190045249,0.0037842886485635104,108.69227007012896,time-instruct
678,27471.805128205127,0.0038670605957244106,106.23513510470184,insert-predict-successor
494,37407.2,0.002822158878885753,105.56906161425513,predict-successor-branch
638,29732.725874125874,0.003484320557491289,103.59834799346994,delay-branch-scheme
564,33447.863247863235,0.0030959752321981426,103.5537561853351,predict-branch-limit
267,45547.411545036164,0.002271566050556501,103.46395375642938,organ
726,24329.098039215685,0.004250490221299901,103.41059330873287,move
540,34533.67209653092,0.002986861444704948,103.1472937292113,insert-slot-branch
218,47214.878080210394,0.0021647888928944016,102.2102436474028,order-execut-machin
651,28840.559340659336,0.0035146440624104066,101.36430064324333,collect
124,53500.4,0.0018931939558755992,101.28663391692692,account
800,20898.917378917373,0.004830917874396135,100.96095352133996,absorb
682,27220.64736048265,0.003703703703703704,100.81721244623203,delay-branch-effect
694,26353.06696832579,0.0038243232515678335,100.78264675709256,side
798,20898.917378917373,0.004784688995215311,99.99481999481996,microsequenc
232,46673.21819855359,0.00214071323729543,99.91397602482165,state
799,20898.917378917373,0.004761904761904762,99.51865418532083,microprogram
546,33986.74273504273,0.002916459151049949,99.12094686399575,algorithm-inlin-target
797,20898.917378917373,0.004739336492890996,99.04700179581694,microengin
543,34152.796581196584,0.0028434530307001717,97.1118729456899,process
117,54017.26923076923,0.0017936874997878348,96.8901005919048,automat
