,Old_WScore,Position_Weight,SCScore,Words
65,5447.921717171717,0.008269305570289098,45.050529402307035,show
50,5996.219008264464,0.007452904139429655,44.68924546762101,allow
130,4171.5544332211,0.010542609714261807,43.97907029124868,schedul-condit
373,1928.0639730639728,0.022352647352647352,43.097334063243146,integr
369,1928.0639730639728,0.02210552027357108,42.620857245307654,circuit
125,4310.532828282828,0.009739189069225714,41.98109420375072,move
48,6031.488636363636,0.006825664639647557,41.16891870966333,motiv
115,4438.4928229665065,0.009260342340234725,41.101963015344694,list
76,5139.454545454545,0.007987881331879169,41.0533530196779,node-repres
201,2897.777056277056,0.014084507042253521,40.81376135601487,task
127,4230.60606060606,0.009505504106237987,40.214043280966216,partial
367,1928.0639730639728,0.020416666666666666,39.36463945005611,instruct
97,4707.798418972332,0.008334434606405004,39.23683806306177,share
243,2681.860962566845,0.014492753623188406,38.86755018212819,chain
368,1928.0639730639728,0.02000800320128051,38.576710145337586,processor
244,2681.860962566845,0.014285714285714285,38.31229946524064,multicycl
55,5752.938016528926,0.006426138011729551,36.96917366714054,defin
107,4537.765480895916,0.00814236353212786,36.94813616899555,mutual
68,5383.202479338844,0.006853561021482997,36.89410668314733,suggest
106,4537.765480895916,0.008091908091908092,36.71918121404288,exclus
153,3834.833333333333,0.009246387800665572,35.45835615091902,induc
109,4510.714285714286,0.007718721738166726,34.81694841180206,figur
148,3913.204216073782,0.008786399596027606,34.3829759432842,possibl
217,2818.0765550239234,0.01219920407631941,34.37829099742801,decid
182,3226.0454545454545,0.010520944591877359,33.941045478150535,local
160,3695.590909090909,0.00891874901775892,32.960047790493334,qualiti
47,6037.386363636364,0.005409287090841413,32.65795611924016,fast
56,5750.977272727273,0.00564310323647701,32.453358460633,path-base-schedul
377,1907.3477633477635,0.016811471356925903,32.06532229121761,brazil
275,2515.037037037037,0.012658227848101266,31.835911861228315,proven
111,4503.051948051948,0.007025831252031688,31.63768310614555,basic-block-basic
95,4717.694805194806,0.00656443368307775,30.96899468570171,summar
380,1823.7326203208554,0.01694915254237288,30.910722378319583,pipelin
379,1823.7326203208554,0.01639344262295082,29.897256070833695,delay
138,4085.194805194805,0.007065850152632719,28.865374337820107,save
381,1823.7326203208554,0.015625,28.495822192513366,capabl
168,3512.102272727273,0.00805767757337004,28.299387718336494,applic
128,4181.371900826446,0.006445475888611854,26.950931768095977,definit
117,4389.921717171717,0.006123954006381313,26.883678687574072,oper-execut
165,3583.151515151515,0.007502033071293033,26.880921166120405,code-motion-code
178,3347.7563131313127,0.007902983032335326,26.457261339070232,variabl
133,4161.4049586776855,0.006320607981237476,26.302609394979385,node
52,5840.30303030303,0.004484702143406164,26.192019518141514,graph
119,4381.848484848485,0.005965264057198121,26.13888327075471,input-output
71,5229.356749311295,0.0049284000313723495,25.772361967362993,insid
80,5030.8441558441555,0.005033655939272027,25.3235385646169,domain
146,3936.4545454545455,0.006418485237483954,25.26607538802661,reduc
58,5738.522727272728,0.004349806654042833,24.96146434346694,code-duplic
177,3408.522727272727,0.007293248834651443,24.859204408564775,experiment
104,4558.866666666667,0.0050527805015191775,23.034952602359063,condit-oper
372,1928.0639730639728,0.011764705882352941,22.683105565458504,introduct
